,gapht_m,site,fp_m2,type,tot_mu,tot_se,prop_mu,prop_se
130,44,StJ,16m2,live,15.91817,0.02866,0.99489,0.00179
131,44,StJ,36m2,live,35.8989,0.03807,0.99719,0.00106
132,44,StJ,64m2,live,63.88789,0.03867,0.99825,0.0006
133,46,CdA,16m2,live,15.91702,0.02855,0.99481,0.00178
134,46,CdA,36m2,live,35.89217,0.04267,0.997,0.00119
135,46,CdA,64m2,live,63.88353,0.04582,0.99818,0.00072
136,46,StJ,16m2,live,15.96597,0.01831,0.99787,0.00114
137,46,StJ,36m2,live,35.96071,0.02238,0.99891,0.00062
138,46,StJ,64m2,live,63.95971,0.02239,0.99937,0.00035
139,48,CdA,16m2,live,15.95493,0.02107,0.99718,0.00132
140,48,CdA,36m2,live,35.94398,0.02901,0.99844,0.00081
141,48,CdA,64m2,live,63.94019,0.02999,0.99907,0.00047
142,48,StJ,16m2,live,15.99399,0.00576,0.99962,0.00036
143,48,StJ,36m2,live,35.99399,0.00576,0.99983,0.00016
144,48,StJ,64m2,live,63.99374,0.00577,0.9999,0.00009
145,50,CdA,16m2,live,15.97536,0.01594,0.99846,0.001
146,50,CdA,36m2,live,35.97388,0.01712,0.99927,0.00048
147,50,CdA,64m2,live,63.97283,0.01715,0.99958,0.00027
148,50,StJ,16m2,live,16,0,1,0
149,50,StJ,36m2,live,36,0,1,0
150,50,StJ,64m2,live,64,0,1,0
151,2,CdA,16m2,snag,3.31806,0.36126,0.20738,0.02258
152,2,CdA,36m2,snag,7.20833,0.73211,0.20023,0.02034
153,2,CdA,64m2,snag,12.78194,1.19814,0.19972,0.01872
154,2,StJ,16m2,snag,0.75,0.21727,0.04688,0.01358
155,2,StJ,36m2,snag,1.775,0.44274,0.04931,0.0123
156,2,StJ,64m2,snag,3.23611,0.75939,0.05056,0.01187
157,4,CdA,16m2,snag,4.24722,0.40491,0.26545,0.02531
158,4,CdA,36m2,snag,9.24167,0.81317,0.25671,0.02259
159,4,CdA,64m2,snag,16.24028,1.32913,0.25375,0.02077
160,4,StJ,16m2,snag,0.91944,0.25707,0.05747,0.01607
161,4,StJ,36m2,snag,2.26944,0.53006,0.06304,0.01472
162,4,StJ,64m2,snag,4.20833,0.90481,0.06576,0.01414
163,6,CdA,16m2,snag,4.98611,0.43906,0.31163,0.02744
164,6,CdA,36m2,snag,10.93194,0.88667,0.30367,0.02463
165,6,CdA,64m2,snag,19.20694,1.44264,0.30011,0.02254
166,6,StJ,16m2,snag,1.16944,0.30217,0.07309,0.01889
167,6,StJ,36m2,snag,2.875,0.63566,0.07986,0.01766
168,6,StJ,64m2,snag,5.275,1.05246,0.08242,0.01644
169,8,CdA,16m2,snag,5.43472,0.46117,0.33967,0.02882
170,8,CdA,36m2,snag,11.99444,0.9301,0.33318,0.02584
171,8,CdA,64m2,snag,21.11806,1.51122,0.32997,0.02361
172,8,StJ,16m2,snag,1.46944,0.33885,0.09184,0.02118
173,8,StJ,36m2,snag,3.44444,0.71564,0.09568,0.01988
174,8,StJ,64m2,snag,6.4,1.16448,0.1,0.01819
175,10,CdA,16m2,snag,5.84861,0.47158,0.36554,0.02947
176,10,CdA,36m2,snag,12.93472,0.95646,0.3593,0.02657
177,10,CdA,64m2,snag,22.82639,1.54837,0.35666,0.02419
178,10,StJ,16m2,snag,1.74167,0.37673,0.10885,0.02355
179,10,StJ,36m2,snag,3.99167,0.78582,0.11088,0.02183
180,10,StJ,64m2,snag,7.45,1.26992,0.11641,0.01984
181,12,CdA,16m2,snag,6.28611,0.47803,0.39288,0.02988
182,12,CdA,36m2,snag,13.95833,0.97013,0.38773,0.02695
183,12,CdA,64m2,snag,24.50972,1.57227,0.38296,0.02457
184,12,StJ,16m2,snag,2.03889,0.41648,0.12743,0.02603
185,12,StJ,36m2,snag,4.53889,0.84421,0.12608,0.02345
186,12,StJ,64m2,snag,8.5,1.35143,0.13281,0.02112
187,14,CdA,16m2,snag,6.68056,0.48265,0.41753,0.03017
188,14,CdA,36m2,snag,14.95278,0.97321,0.41535,0.02703
189,14,CdA,64m2,snag,26.28056,1.56736,0.41063,0.02449
190,14,StJ,16m2,snag,2.43333,0.45807,0.15208,0.02863
191,14,StJ,36m2,snag,5.34167,0.90494,0.14838,0.02514
192,14,StJ,64m2,snag,10.14722,1.4487,0.15855,0.02264
193,16,CdA,16m2,snag,7.07222,0.48567,0.44201,0.03035
194,16,CdA,36m2,snag,15.87639,0.97528,0.44101,0.02709
195,16,CdA,64m2,snag,27.99583,1.57204,0.43743,0.02456
196,16,StJ,16m2,snag,3.03333,0.49835,0.18958,0.03115
197,16,StJ,36m2,snag,6.86944,0.98344,0.19082,0.02732
198,16,StJ,64m2,snag,12.45833,1.56363,0.19466,0.02443
199,18,CdA,16m2,snag,7.52083,0.48805,0.47005,0.0305
200,18,CdA,36m2,snag,17.00278,0.97242,0.4723,0.02701
201,18,CdA,64m2,snag,29.98472,1.56156,0.46851,0.0244
202,18,StJ,16m2,snag,3.81667,0.54864,0.23854,0.03429
203,18,StJ,36m2,snag,8.39444,1.07302,0.23318,0.02981
204,18,StJ,64m2,snag,15.03333,1.67638,0.2349,0.02619
205,20,CdA,16m2,snag,8.09444,0.4845,0.5059,0.03028
206,20,CdA,36m2,snag,18.32222,0.95716,0.50895,0.02659
207,20,CdA,64m2,snag,32.36667,1.53535,0.50573,0.02399
208,20,StJ,16m2,snag,4.68333,0.59104,0.29271,0.03694
209,20,StJ,36m2,snag,10.25556,1.15163,0.28488,0.03199
210,20,StJ,64m2,snag,18.69444,1.76852,0.2921,0.02763
211,22,CdA,16m2,snag,8.79444,0.47126,0.54965,0.02945
212,22,CdA,36m2,snag,19.9875,0.93423,0.55521,0.02595
213,22,CdA,64m2,snag,35.17778,1.49833,0.54965,0.02341
214,22,StJ,16m2,snag,5.60556,0.6271,0.35035,0.03919
215,22,StJ,36m2,snag,12.59444,1.19526,0.34985,0.0332
216,22,StJ,64m2,snag,22.93333,1.82424,0.35833,0.0285
217,24,CdA,16m2,snag,9.64306,0.45588,0.60269,0.02849
218,24,CdA,36m2,snag,21.86667,0.8942,0.60741,0.02484
219,24,CdA,64m2,snag,38.52083,1.42472,0.60189,0.02226
220,24,StJ,16m2,snag,6.63889,0.65631,0.41493,0.04102
221,24,StJ,36m2,snag,15.16389,1.23767,0.42122,0.03438
222,24,StJ,64m2,snag,27.33889,1.88408,0.42717,0.02944
223,26,CdA,16m2,snag,10.65694,0.42776,0.66606,0.02673
224,26,CdA,36m2,snag,24.02083,0.83972,0.66725,0.02333
225,26,CdA,64m2,snag,42.2375,1.33824,0.65996,0.02091
226,26,StJ,16m2,snag,7.93333,0.66003,0.49583,0.04125
227,26,StJ,36m2,snag,18.16944,1.2546,0.50471,0.03485
228,26,StJ,64m2,snag,32.43333,1.91281,0.50677,0.02989
229,28,CdA,16m2,snag,11.73333,0.39289,0.73333,0.02456
230,28,CdA,36m2,snag,26.45556,0.76727,0.73488,0.02131
231,28,CdA,64m2,snag,46.61806,1.21744,0.72841,0.01902
232,28,StJ,16m2,snag,9.06389,0.67275,0.56649,0.04205
233,28,StJ,36m2,snag,21.21389,1.24624,0.58927,0.03462
234,28,StJ,64m2,snag,37.78889,1.92591,0.59045,0.03009
