snagid,site,xc,yc,plotid,plot xc,plotyc,crs_epsg,sppid,treeDBH,treeHT,top,cavsum
BR212X_DF04,cda,535490.2364,5282479.867,BR212X,535504.941,5282468.06,26911,DF,0.44,5.7,BT,0
BR212X_DF05,cda,535490.9161,5282491.43,BR212X,535504.941,5282468.06,26911,DF,0.54,9.78,BT,0
BR212X_GF01,cda,535508.7474,5282459.085,BR212X,535504.941,5282468.06,26911,GF,0.39,5.12,BT,0
BR212X_GF02,cda,535508.7929,5282451.639,BR212X,535504.941,5282468.06,26911,GF,0.47,,BT,0
BR212X_GF03,cda,535494.4094,5282472.335,BR212X,535504.941,5282468.06,26911,GF,0.43,19.66,HIGH BT,0
BR212X_GF04,cda,535489.8921,5282487.089,BR212X,535504.941,5282468.06,26911,GF,0.74,15.33,BT,7
BR212X_WL01,cda,535505.5858,5282460.733,BR212X,535504.941,5282468.06,26911,WL,0.44,,INTACT,0
BR212X_WP01,cda,535516.5449,5282460.133,BR212X,535504.941,5282468.06,26911,WP,0.44,29.6,INTACT,0
BR21X2_AS01,cda,535903.1122,5282767.931,BR21X2,535909.748,5282762.64,26911,AS,0.31,14.8,BT,0
BR21X2_AS02,cda,535906.0406,5282779.73,BR21X2,535909.748,5282762.64,26911,AS,0.38,28.2,INTACT,0
BR21X2_GF01,cda,535911.7546,5282777.876,BR21X2,535909.748,5282762.64,26911,GF,0.35,36.2,BT,0
BR21X2_GF02,cda,535919.4039,5282754.25,BR21X2,535909.748,5282762.64,26911,GF,0.39,28.7,INTACT,0
BR21X2_GF03,cda,535931.4861,5282766.106,BR21X2,535909.748,5282762.64,26911,GF,0.45,14.4,BT,0
BR21X2_GF04,cda,535917.5285,5282778.467,BR21X2,535909.748,5282762.64,26911,GF,0.55,36.4,INTACT,0
BR21X2_GF05,cda,535924.5639,5282757.06,BR21X2,535909.748,5282762.64,26911,GF,0.5,5.6,BT,0
BR21X2_GF06,cda,535932.4186,5282748.773,BR21X2,535909.748,5282762.64,26911,GF,0.23,2.6,BT,0
BR21X2_GF07,cda,535919.9456,5282751.585,BR21X2,535909.748,5282762.64,26911,GF,0.35,2.5,BT,0
BR21X2_GF08,cda,535920.4681,5282752.033,BR21X2,535909.748,5282762.64,26911,GF,0.37,2.7,BT,0
BR21X2_GF09,cda,535929.8682,5282748.646,BR21X2,535909.748,5282762.64,26911,GF,0.22,1.9,BT,0
BR21X2_GF10,cda,535930.8615,5282745.762,BR21X2,535909.748,5282762.64,26911,GF,0.46,5.5,BT,0
BR21X2_GF11,cda,535933.648,5282744.112,BR21X2,535909.748,5282762.64,26911,GF,0.38,8.4,BT,3
BR21X2_GF12,cda,535926.3507,5282747.179,BR21X2,535909.748,5282762.64,26911,GF,0.34,3.5,BT,1
BR21X2_GF13,cda,535928.1005,5282743.3,BR21X2,535909.748,5282762.64,26911,GF,0.26,2.5,BT,0
BR21X2_GF14,cda,535926.149,5282743.399,BR21X2,535909.748,5282762.64,26911,GF,0.19,4.1,BT,0
BR21X2_GF15,cda,535923.9717,5282743.608,BR21X2,535909.748,5282762.64,26911,GF,0.42,5.1,BT,0
BR21X2_GF16,cda,535918.2077,5282765.69,BR21X2,535909.748,5282762.64,26911,GF,0.49,31.8,INTACT,0
BR21X2_GF17,cda,535913.5172,5282759.77,BR21X2,535909.748,5282762.64,26911,GF,0.46,29.4,INTACT,0
BR21X2_GF19,cda,535906.7157,5282767.62,BR21X2,535909.748,5282762.64,26911,GF,0.26,21.6,INTACT,0
BR21X2_GF20,cda,535903.9988,5282770.159,BR21X2,535909.748,5282762.64,26911,GF,0.51,32.7,INTACT,0
BR21X2_GF21,cda,535904.1571,5282768.826,BR21X2,535909.748,5282762.64,26911,GF,0.51,37.4,INTACT,0
BR21X2_UN01,cda,535902.2638,5282747.364,BR21X2,535909.748,5282762.64,26911,UN,0.35,14.3,HIGH BT,0
BR21X4_DF01,cda,530096.105,5292134.924,BR21X4,530090.376,5292112.89,26911,DF,0.64,,INTACT,0
BR21X4_DF02,cda,530090.5917,5292129.116,BR21X4,530090.376,5292112.89,26911,DF,0.59,,BT,1
BR21X4_DF03,cda,530096.0464,5292117.363,BR21X4,530090.376,5292112.89,26911,DF,0.39,1.85,BT,1
BR21X4_DF05,cda,530094.0372,5292100.348,BR21X4,530090.376,5292112.89,26911,DF,0.31,1.39,BT,0
BR21X4_GF01,cda,530101.1018,5292095.939,BR21X4,530090.376,5292112.89,26911,GF,0.68,,INTACT,0
BR21X4_UN01,cda,530101.3926,5292112.056,BR21X4,530090.376,5292112.89,26911,UN,0.28,,INTACT,0
BR21X5_DF02,cda,530805.8389,5288194.816,BR21X5,530795.35,5288193.65,26911,DF,0.38,2.87,BT,0
BR21X5_DF03,cda,530800.113,5288186.116,BR21X5,530795.35,5288193.65,26911,DF,0.55,14.16,BT,2
BR21X5_DF04,cda,530771.8831,5288194.413,BR21X5,530795.35,5288193.65,26911,DF,0.22,2.48,BT,0
BR21X5_DF05,cda,530777.363,5288207.113,BR21X5,530795.35,5288193.65,26911,DF,0.53,10.57,BT,0
BR21X5_GF01,cda,530799.5954,5288213.01,BR21X5,530795.35,5288193.65,26911,GF,0.59,38.44,INTACT,0
BR21X5_GF02,cda,530812.4378,5288208.521,BR21X5,530795.35,5288193.65,26911,GF,0.27,12.4,BT,0
BR21X5_GF03,cda,530812.0399,5288212.854,BR21X5,530795.35,5288193.65,26911,GF,0.5,25.06,INTACT,0
BR21X5_GF04,cda,530800.7239,5288198.123,BR21X5,530795.35,5288193.65,26911,GF,,,NA,
BR21X5_GF05,cda,530807.9513,5288178.155,BR21X5,530795.35,5288193.65,26911,GF,0.54,4.52,BT,0
BR21X5_GF06,cda,530808.1331,5288186.27,BR21X5,530795.35,5288193.65,26911,GF,0.57,14.65,BT,0
BR21X5_GF07,cda,530775.8819,5288189.544,BR21X5,530795.35,5288193.65,26911,GF,0.27,14.53,BT,0
BR21X6_GF01,cda,533698.7408,5286409.248,BR21X6,533687.833,5286389.4,26911,GF,0.59,37.37,INTACT,0
BR21X6_GF02,cda,533702.8917,5286378.819,BR21X6,533687.833,5286389.4,26911,GF,0.56,4.97,BT,3
BR21X6_GF03,cda,533681.01,5286376.358,BR21X6,533687.833,5286389.4,26911,GF,0.5,10.94,BT,1
BR21X6_GF04,cda,533684.7387,5286392.829,BR21X6,533687.833,5286389.4,26911,GF,,,INTACT,0
BR220O_GF01,cda,539890.3462,5294736.655,BR220O,539901.463,5294753.4,26911,GF,0.41,,INTACT,0
BR220O_GF02,cda,539892.5127,5294759.122,BR220O,539901.463,5294753.4,26911,GF,0.42,23.35,INTACT,0
BR220O_WH01,cda,539900.2983,5294759.398,BR220O,539901.463,5294753.4,26911,WH,0.44,17.04,HIGH BT,0
BR220O_WL01,cda,539882.4986,5294745.382,BR220O,539901.463,5294753.4,26911,WL,0.97,30.4,BT,0
BR220P_WL02,cda,531222.8506,5295121.456,BR220P,531201.154,5295104.45,26911,WL,0.18,4,BT,0
BR220P_WL03,cda,531218.0451,5295110.093,BR220P,531201.154,5295104.45,26911,WL,0.27,11,INTACT,0
BR220P_WL04,cda,531212.7275,5295124.291,BR220P,531201.154,5295104.45,26911,WL,0.2,9,INTACT,0
BR220P_WL05,cda,531208.9696,5295126.938,BR220P,531201.154,5295104.45,26911,WL,0.33,9,BT,0
BR220P_WL07,cda,531201.098,5295114.892,BR220P,531201.154,5295104.45,26911,WL,0.3,14,INTACT,0
BR220Q_DF01,cda,533482.844,5297873.161,BR220Q,533495.521,5297855.12,26911,DF,,36.36,INTACT,0
BR220Q_DF03,cda,533497.1678,5297868.02,BR220Q,533495.521,5297855.12,26911,DF,0.52,39.35,INTACT,0
BR220Q_DF05,cda,533488.0746,5297861.632,BR220Q,533495.521,5297855.12,26911,DF,0.41,8.53,BT,0
BR221A_DF01,cda,532212.9659,5306877.155,BR221A,532221.324,5306865.75,26911,DF,0.64,,INTACT,0
BR221A_GF01,cda,532212.9659,5306877.155,BR221A,532221.324,5306865.75,26911,GF,0.59,,BT,0
BR221A_GF02,cda,532231.5948,5306859.587,BR221A,532221.324,5306865.75,26911,GF,0.41,,BT,0
BR221E_DF01,cda,530331.7113,5291188.092,BR221E,530352.677,5291176.2,26911,DF,0.44,5.27,BT,0
BR221E_GF01,cda,530370.2396,5291184.737,BR221E,530352.677,5291176.2,26911,GF,0.64,36.61,INTACT,0
BR221E_WL01,cda,530353.7456,5291201.1,BR221E,530352.677,5291176.2,26911,WL,0.4,18.23,BT,0
BR221E_WL03,cda,530361.5393,5291186.47,BR221E,530352.677,5291176.2,26911,WL,0.5,,BT,5
BR221X_GF01,cda,525707.2644,5301023.795,BR221X,525707.231,5301031.35,26911,GF,0.54,4.79,BT,0
BR221X_GF02,cda,525702.2404,5301026.662,BR221X,525707.231,5301031.35,26911,GF,0.48,36.21,INTACT,0
BR222A_UN02,cda,553655.4585,5276098.883,BR222A,553646.874,5276084.8,26911,UN,0.41,7.33,BT,0
BR222A_WH01,cda,553651.9323,5276082.067,BR222A,553646.874,5276084.8,26911,WH,0.3,7.1,BT,1
BR222A_WP01,cda,553662.6832,5276097.505,BR222A,553646.874,5276084.8,26911,WP,0.37,22.3,INTACT,0
BR222B_GF01,cda,537053.0291,5292580.133,BR222B,537045.252,5292589.86,26911,GF,0.44,23.68,INTACT,0
BR222B_GF02,cda,537046.0374,5292607.542,BR222B,537045.252,5292589.86,26911,GF,0.44,11.25,BT,0
BR222B_UN01,cda,537045.6999,5292578.308,BR222B,537045.252,5292589.86,26911,UN,0.58,,NA,2
BR222X_RC01,cda,540019.1227,5289510.105,BR222X,540022.413,5289489.46,26911,RC,1.33,2.62,BT,0
BR222X_UN01,cda,540018.2345,5289486.758,BR222X,540022.413,5289489.46,26911,UN,0.64,20.42,HIGH BT,0
BR222X_UN02,cda,540014.4017,5289488.288,BR222X,540022.413,5289489.46,26911,UN,0.59,12.1,HIGH BT,1
BR222X_WH02,cda,540021.9584,5289468.445,BR222X,540022.413,5289489.46,26911,WH,0.43,,BT,0
BR222X_WH03,cda,540019.6123,5289504.329,BR222X,540022.413,5289489.46,26911,WH,0.43,,BT,0
